epoch,bbox_regression_loss,bbox_regression_mae,classification_accuracy,classification_loss,learning_rate,loss,val_bbox_regression_loss,val_bbox_regression_mae,val_classification_accuracy,val_classification_loss,val_loss
0,0.03861353546380997,0.1632877141237259,0.6050000190734863,0.9738485217094421,0.0010000000474974513,1.0124620199203491,0.02843625284731388,0.14065805077552795,0.6100000143051147,0.8118864297866821,0.8144830465316772
1,0.031015651300549507,0.1480034589767456,0.6499999761581421,0.8159657120704651,0.0010000000474974513,0.846981406211853,0.02572115883231163,0.13557328283786774,0.6899999976158142,0.6602990031242371,0.6607627272605896
2,0.030197536572813988,0.14750438928604126,0.7149999737739563,0.6543418169021606,0.0010000000474974513,0.6845393180847168,0.02404223009943962,0.1299913376569748,0.6600000262260437,0.6523693203926086,0.6630978584289551
3,0.029175378382205963,0.1441899687051773,0.6899999976158142,0.6719532608985901,0.0010000000474974513,0.7011286020278931,0.026290621608495712,0.13441380858421326,0.6800000071525574,0.7005284428596497,0.7014834880828857
4,0.028740160167217255,0.14319048821926117,0.7200000286102295,0.5921245813369751,0.0010000000474974513,0.620864748954773,0.024361655116081238,0.13088904321193695,0.7400000095367432,0.5786082148551941,0.5822732448577881
5,0.028759408742189407,0.14321023225784302,0.7475000023841858,0.5357522368431091,0.0010000000474974513,0.5645115375518799,0.023983562365174294,0.12918797135353088,0.6499999761581421,0.6233972907066345,0.6214578747749329
6,0.02748519368469715,0.14034497737884521,0.7400000095367432,0.5261950492858887,0.0010000000474974513,0.5536801815032959,0.023432990536093712,0.12843938171863556,0.699999988079071,0.6091610193252563,0.6219661235809326
7,0.027445733547210693,0.14014896750450134,0.7875000238418579,0.48595479130744934,0.0010000000474974513,0.5134004950523376,0.023510029539465904,0.12866061925888062,0.6499999761581421,0.7475089430809021,0.7773936986923218
8,0.026926225051283836,0.13864943385124207,0.7699999809265137,0.5096749663352966,0.0010000000474974513,0.5366011261940002,0.026129145175218582,0.1357727199792862,0.6899999976158142,0.6388073563575745,0.6592651605606079
9,0.027475176379084587,0.13969403505325317,0.8349999785423279,0.4021541476249695,0.0010000000474974513,0.42962929606437683,0.024642059579491615,0.13174735009670258,0.6800000071525574,0.7589894533157349,0.788307785987854
10,0.026880815625190735,0.13757403194904327,0.8050000071525574,0.40254297852516174,0.0010000000474974513,0.42942383885383606,0.023155834525823593,0.12772990763187408,0.7400000095367432,0.5633473992347717,0.5831701755523682
11,0.026208773255348206,0.13652482628822327,0.8374999761581421,0.37584468722343445,0.0010000000474974513,0.40205344557762146,0.02348773553967476,0.12889611721038818,0.7200000286102295,0.6058704257011414,0.6099451780319214
12,0.026625249534845352,0.13693147897720337,0.8849999904632568,0.27695953845977783,0.0005000000237487257,0.30358484387397766,0.022232363000512123,0.12399489432573318,0.6800000071525574,0.6990185379981995,0.7438163161277771
13,0.02617279253900051,0.13519257307052612,0.8849999904632568,0.27489981055259705,0.0005000000237487257,0.3010726273059845,0.02259002812206745,0.12587647140026093,0.699999988079071,0.6915077567100525,0.7142815589904785
14,0.024660896509885788,0.13192148506641388,0.8924999833106995,0.25642576813697815,0.0005000000237487257,0.28108665347099304,0.022110549733042717,0.12486711144447327,0.6700000166893005,0.6419306993484497,0.6880874037742615
15,0.025004452094435692,0.1328752189874649,0.9100000262260437,0.2454613894224167,0.0005000000237487257,0.2704658806324005,0.022700542584061623,0.12565194070339203,0.7099999785423279,0.7376845479011536,0.7594291567802429
16,0.02535923756659031,0.1336222141981125,0.925000011920929,0.2102503925561905,0.0005000000237487257,0.23560960590839386,0.021557588130235672,0.12217941880226135,0.6800000071525574,0.8909123539924622,0.935373842716217
17,0.025239674374461174,0.13404518365859985,0.9225000143051147,0.19981896877288818,0.0005000000237487257,0.2250586748123169,0.022043148055672646,0.12422075122594833,0.7099999785423279,0.7681393027305603,0.8288835287094116
18,0.024534182623028755,0.1310233324766159,0.9225000143051147,0.1689954698085785,0.0005000000237487257,0.1935296207666397,0.021173585206270218,0.12090201675891876,0.7300000190734863,0.718220591545105,0.7494882345199585
19,0.023719916120171547,0.12869951128959656,0.9549999833106995,0.14307643473148346,0.0002500000118743628,0.16679634153842926,0.020924653857946396,0.11995202302932739,0.7099999785423279,0.7934707999229431,0.8169320821762085
