epoch,bbox_regression_iou_metric,bbox_regression_loss,bbox_regression_mae,classification_accuracy,classification_loss,learning_rate,loss,val_bbox_regression_iou_metric,val_bbox_regression_loss,val_bbox_regression_mae,val_classification_accuracy,val_classification_loss,val_loss
0,0.0,-3.907886505126953,0.6371061205863953,0.8015000224113464,0.04995730519294739,9.999999747378752e-05,-58.56832504272461,0.0,-3.8418145179748535,0.6371782422065735,0.8343662023544312,0.022201554849743843,-57.59297180175781
1,0.0,-3.9079020023345947,0.6371073722839355,0.8320000171661377,0.03432923182845116,9.999999747378752e-05,-58.58417892456055,0.0,-3.8415117263793945,0.6371384263038635,0.8383098840713501,0.020108044147491455,-57.590545654296875
2,0.0,-3.9079089164733887,0.6371079087257385,0.8345000147819519,0.03137671574950218,9.999999747378752e-05,-58.58724594116211,0.0,-3.8417773246765137,0.637173056602478,0.8484507203102112,0.01939171552658081,-57.59526062011719
3,0.0,-3.907912015914917,0.6371081471443176,0.8364999890327454,0.029626987874507904,9.999999747378752e-05,-58.58905792236328,0.0,-3.84173583984375,0.6371696591377258,0.8495774865150452,0.019630182534456253,-57.59437942504883
4,0.0,-3.9079134464263916,0.6371080279350281,0.843999981880188,0.02718987502157688,9.999999747378752e-05,-58.591556549072266,0.0,-3.841822624206543,0.6371792554855347,0.8523943424224854,0.017958970740437508,-57.59734344482422
5,0.0,-3.9079153537750244,0.6371082067489624,0.8475000262260437,0.02454032190144062,9.999999747378752e-05,-58.59416198730469,0.0,-3.841657876968384,0.6371600031852722,0.8490141034126282,0.0182223878800869,-57.5946159362793
6,0.0,-3.9079153537750244,0.6371082067489624,0.843999981880188,0.02777949720621109,9.999999747378752e-05,-58.5909538269043,0.0,-3.8412325382232666,0.6370829939842224,0.8501408696174622,0.01821359619498253,-57.588253021240234
7,0.0,-3.907917022705078,0.6371080875396729,0.871999979019165,0.01984648033976555,9.999999747378752e-05,-58.59889602661133,0.0,-3.8416028022766113,0.6371646523475647,0.8428168892860413,0.018387090414762497,-57.59358596801758
8,0.0,-3.9079155921936035,0.6371082067489624,0.8709999918937683,0.02036159485578537,9.999999747378752e-05,-58.59837341308594,0.0,-3.841822385787964,0.6371785998344421,0.8490141034126282,0.018062464892864227,-57.59722900390625
9,0.0,-3.907916784286499,0.6371082663536072,0.8600000143051147,0.022653741762042046,9.999999747378752e-05,-58.59609603881836,0.0,-3.841681957244873,0.6371601223945618,0.8478873372077942,0.01801447570323944,-57.59518051147461
10,0.0,-3.9079172611236572,0.6371082663536072,0.8610000014305115,0.022288605570793152,9.999999747378752e-05,-58.5964469909668,0.0,-3.84183406829834,0.6371794939041138,0.8484507203102112,0.018897416070103645,-57.5965461730957
11,0.0,-3.90791654586792,0.6371079683303833,0.8644999861717224,0.02227538824081421,4.999999873689376e-05,-58.59648895263672,0.0,-3.8418376445770264,0.6371797919273376,0.8456338047981262,0.017887353897094727,-57.59761428833008
12,0.0,-3.9079174995422363,0.6371082067489624,0.8684999942779541,0.021989811211824417,4.999999873689376e-05,-58.596763610839844,0.0,-3.8418402671813965,0.6371801495552063,0.8394365906715393,0.01755228266119957,-57.59798049926758
13,0.0,-3.9079177379608154,0.6371080875396729,0.8665000200271606,0.020558355376124382,4.999999873689376e-05,-58.59819793701172,0.0,-3.8418381214141846,0.6371799111366272,0.8478873372077942,0.017821572721004486,-57.59768295288086
14,0.0,-3.90791654586792,0.6371083855628967,0.875,0.018191203474998474,4.999999873689376e-05,-58.6005744934082,0.0,-3.8418381214141846,0.6371797323226929,0.8411267399787903,0.017617858946323395,-57.59788131713867
15,0.0,-3.9079174995422363,0.6371082067489624,0.8784999847412109,0.017811747267842293,4.999999873689376e-05,-58.6009635925293,0.0,-3.8416242599487305,0.6371561288833618,0.8456338047981262,0.01911064051091671,-57.59321212768555
16,0.0,-3.9079172611236572,0.6371081471443176,0.890999972820282,0.01728074625134468,4.999999873689376e-05,-58.601505279541016,0.0,-3.8418357372283936,0.6371796131134033,0.8456338047981262,0.0182527806609869,-57.59721374511719
17,0.0,-3.9079184532165527,0.6371082067489624,0.8899999856948853,0.016486691311001778,4.999999873689376e-05,-58.6023063659668,0.0,-3.841838836669922,0.6371799111366272,0.8445070385932922,0.017893074080348015,-57.597633361816406
18,0.0,-3.9079184532165527,0.6371080875396729,0.8730000257492065,0.018620096147060394,4.999999873689376e-05,-58.60014343261719,0.0,-3.841829538345337,0.6371785402297974,0.8512675762176514,0.01809539832174778,-57.59729766845703
19,0.0,-3.907916784286499,0.6371084451675415,0.8859999775886536,0.01827206276357174,4.999999873689376e-05,-58.60051345825195,0.0,-3.8418376445770264,0.6371793150901794,0.8383098840713501,0.019178560003638268,-57.59632110595703
20,0.0,-3.9079184532165527,0.6371082663536072,0.8924999833106995,0.015861615538597107,4.999999873689376e-05,-58.60291290283203,0.0,-3.841841697692871,0.6371802091598511,0.8495774865150452,0.018445350229740143,-57.59710693359375
21,0.0,-3.907918691635132,0.6371082663536072,0.8970000147819519,0.014551201835274696,2.499999936844688e-05,-58.60422897338867,0.0,-3.841841220855713,0.6371800899505615,0.8529577255249023,0.017447620630264282,-57.59811019897461
