epoch,bbox_regression_iou_metric,bbox_regression_loss,bbox_regression_mae,classification_accuracy,classification_loss,learning_rate,loss,val_bbox_regression_iou_metric,val_bbox_regression_loss,val_bbox_regression_mae,val_classification_accuracy,val_classification_loss,val_loss
0,0.04950331896543503,-1.456470251083374,0.39893653988838196,0.7590000033378601,0.08524301648139954,0.0010000000474974513,-14.479452133178711,0.035919077694416046,-3.1239511966705322,0.5261327028274536,0.8411267399787903,0.03353001922369003,-31.19969367980957
1,0.04513205960392952,-3.0935781002044678,0.5080052018165588,0.8220000267028809,0.053235601633787155,0.0010000000474974513,-30.882553100585938,0.03568623587489128,-3.4285762310028076,0.5418895483016968,0.8484507203102112,0.028347935527563095,-34.2520866394043
2,0.03350858762860298,-3.4312257766723633,0.5458741188049316,0.8324999809265137,0.04498535022139549,0.0010000000474974513,-34.26728439331055,0.023113390430808067,-3.6000173091888428,0.5804423689842224,0.8478873372077942,0.028054453432559967,-35.96647262573242
3,0.02541796676814556,-3.6053366661071777,0.5706798434257507,0.8314999938011169,0.04092109203338623,0.0010000000474974513,-36.01244354248047,0.01929658278822899,-3.6264219284057617,0.5884442329406738,0.8473239541053772,0.027537167072296143,-36.23118209838867
4,0.02105562761425972,-3.662051200866699,0.5847118496894836,0.8335000276565552,0.03836976736783981,0.0010000000474974513,-36.5821533203125,0.013658915646374226,-3.731118679046631,0.6036131381988525,0.8439436554908752,0.02799275889992714,-37.278221130371094
5,0.018974080681800842,-3.698495626449585,0.5913451910018921,0.8385000228881836,0.03875187039375305,0.0010000000474974513,-36.946205139160156,0.016843603923916817,-3.6371965408325195,0.5954738855361938,0.8383098840713501,0.029641717672348022,-36.33680725097656
6,0.017184920608997345,-3.713578462600708,0.5948752164840698,0.8355000019073486,0.03890509903430939,0.0010000000474974513,-37.09688186645508,0.017142856493592262,-3.665804386138916,0.596684992313385,0.8439436554908752,0.025108588859438896,-36.6275749206543
7,0.014820504933595657,-3.7278971672058105,0.5999898314476013,0.8414999842643738,0.036782171577215195,0.0010000000474974513,-37.2421875,0.008660199120640755,-3.7235095500946045,0.614330530166626,0.8349295854568481,0.025509333238005638,-37.20455551147461
8,0.013316827826201916,-3.7184863090515137,0.602481484413147,0.8339999914169312,0.036958739161491394,0.0010000000474974513,-37.14789581298828,0.027331966906785965,-3.4882564544677734,0.5652915835380554,0.8552112579345703,0.02370702289044857,-34.85251235961914
9,0.014764213934540749,-3.7578389644622803,0.6008322834968567,0.8395000100135803,0.03498423472046852,0.0010000000474974513,-37.543399810791016,0.0166232418268919,-3.7124404907226562,0.5978415012359619,0.8473239541053772,0.02274530567228794,-37.09653091430664
10,0.014330912381410599,-3.784099817276001,0.6033607125282288,0.8445000052452087,0.0341966338455677,0.0010000000474974513,-37.80679702758789,0.008457420393824577,-3.7640912532806396,0.6160195469856262,0.8512675762176514,0.022521352395415306,-37.61355209350586
11,0.01232582051306963,-3.7885308265686035,0.607358992099762,0.8485000133514404,0.03227689862251282,0.0010000000474974513,-37.8530387878418,0.011236841790378094,-3.7669224739074707,0.6115798354148865,0.8461971879005432,0.022800419479608536,-37.6415901184082
12,0.010601776652038097,-3.8020927906036377,0.609993577003479,0.8544999957084656,0.030904678627848625,0.0010000000474974513,-37.99002456665039,0.003567818319424987,-3.7335028648376465,0.6175541281700134,0.8405633568763733,0.02213357575237751,-37.308387756347656
13,0.0,-3.8999788761138916,0.6362946033477783,0.8370000123977661,0.03274977207183838,0.0010000000474974513,-38.96702575683594,0.0031497697345912457,-3.8162574768066406,0.6281855702400208,0.8461971879005432,0.021963737905025482,-38.136077880859375
14,0.0,-3.9047536849975586,0.6369038820266724,0.8579999804496765,0.029017038643360138,0.0010000000474974513,-39.018516540527344,0.0019614011980593204,-3.8258557319641113,0.631192684173584,0.8388732671737671,0.02038532681763172,-38.23365783691406
15,0.0,-3.9055404663085938,0.636957049369812,0.8650000095367432,0.028697984293103218,0.0010000000474974513,-39.02669906616211,0.0015178704634308815,-3.828977584838867,0.6323219537734985,0.8484507203102112,0.019511494785547256,-38.265743255615234
16,0.0,-3.9061355590820312,0.6369897127151489,0.8289999961853027,0.03225547447800636,0.0010000000474974513,-39.02910232543945,0.0015964668709784746,-3.8313522338867188,0.6330270171165466,0.8461971879005432,0.021257495507597923,-38.28773880004883
